Medium,Diameters
WA,4.5
WA,4.1
WA,4.4
WA,4
RDA,7.1
RDA,6.8
RDA,7.2
RDA,6.9
PDA,7.8
PDA,7.9
PDA,7.6
PDA,7.6
CMA,6.5
CMA,6.2
CMA,6
CMA,6.4
TWA,5.1
TWA,5
TWA,5.4
TWA,5.2
PCA,6.1
PCA,6.2
PCA,6.2
PCA,6
NA_Media,7
NA_Media,6.8
NA_Media,6.6
NA_Media,6.8
